game_id,country_id,name,in,out
5,9,Йон Горенц-Станкович,75,90
5,10,Йоаким Меле,78,90
5,10,Юссуф Поульсен,83,90
5,10,Каспер Дольберг,83,90
5,10,Кристиан Нёргор,83,90
5,10,Томас Дилейни,89,90
5,9,Давид Брекало,90,91
5,9,Ясмин Куртич,90,91
6,11,Предраг Райкович,0,90
6,11,Милош Велькович,0,90
6,11,Никола Миленкович,0,90
6,11,Страхиня Павлович,0,90
6,11,Сергей Милинкович-Савич,0,90
6,11,Неманья Гудель,0,46
6,11,Саша Лукич,0,61
6,11,Андрия Живкович,0,74
6,11,Филип Костич,0,43
6,11,Душан Влахович,0,90
6,11,Александар Митрович,0,61
6,12,Джордан Пикфорд,0,90
6,12,Киран Триппьер,0,90
6,12,Марк Гехи,0,90
6,12,Джон Стоунз,0,90
6,12,Кайл Уокер,0,90
6,12,Деклан Райс,0,90
6,12,Трент Александер-Арнольд,0,69
6,12,Фил Фоден,0,90
6,12,Джуд Беллингем,0,86
6,12,Букайо Сака,0,76
6,12,Гарри Кейн,0,0
6,11,Филип Младенович,43,90
6,11,Иван Илич,46,90
6,11,Душан Тадич,61,90
6,11,Лука Йович,61,90
6,12,Конор Галлахер,69,90
6,11,Велько Бирманчевич,74,90
6,12,Джаррод Боуэн,76,90
6,12,Кобби Мейну,86,90
